Location,School Management,School Category,Academic Qualification,Professional Qualification,Female,Male,Female,Male,Female,Male,Total,Female,Male,Female,Male,Female,Male,Total,Female,Male,Female,Male,Female,Male,Total,Female,Male,Female,Male,Female,Male,Total,Female,Male,Female,Male,Total
All India,Central Tibetan School,SS (I-X),M.Phil,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
All India,Central Tibetan School,SS (I-X),Post graduate,B.Ed. or equivalent,0,0,0,0,0,0,0,2,0,1,0,3,0,3,1,0,2,0,4,0,8,1,1,0,0,3,1,4,0,0,0,0,0
All India,Central Tibetan School,SS (I-X),Post graduate,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,0,1,2,3,0,0,0,0,0
All India,Central Tibetan School,SS (I-X),,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All India,Central Tibetan School,SS (I-X),,B.Ed. or equivalent,0,0,0,0,0,0,0,0,1,4,1,4,2,6,0,0,0,0,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0
All India,Central Tibetan School,SS (I-X),,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
All India,Central Tibetan School,UPS (I-VIII),Graduate,B.Ed. or equivalent,4,0,0,0,4,0,4,2,1,1,2,3,3,6,3,2,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0
All India,Central Tibetan School,UPS (I-VIII),Graduate,None,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All India,Central Tibetan School,UPS (I-VIII),Graduate,,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
All India,Central Tibetan School,UPS (I-VIII),Higher secondary,B.Ed. or equivalent,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All India,Central Tibetan School,UPS (I-VIII),Higher secondary,None,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
All India,Central Tibetan School,UPS (I-VIII),Post graduate,B.Ed. or equivalent,0,0,0,0,0,0,0,2,0,0,0,2,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
All India,Central Tibetan School,UPS (I-VIII),,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
All India,Department of Education,HSS (I-XII),Below Secondary,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,4,11,0,2,4,13,17,3,1,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0
All India,Department of Education,HSS (I-XII),Below Secondary,B.Ed. or equivalent,0,0,0,0,0,0,0,4,10,2,6,6,16,22,12,13,2,4,16,23,32,5,1,1,0,8,5,13,5,1,6,1,7
All India,Department of Education,HSS (I-XII),Below Secondary,Diploma/degree in special education,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
All India,Department of Education,HSS (I-XII),Below Secondary,Diploma or certificate in basic teachers training of a duration not less than two years,3,0,0,0,3,0,3,31,40,1,1,32,41,73,2,3,0,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0
All India,Department of Education,HSS (I-XII),Below Secondary,M.Ed. or equivalent,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,1,4,4,1,0,0,5,1,6,0,0,0,0,0
All India,Department of Education,HSS (I-XII),Below Secondary,None,5,0,0,0,5,0,5,39,54,1,0,40,54,94,3,5,1,2,5,7,10,2,0,1,0,4,2,6,0,0,1,0,1
All India,Department of Education,HSS (I-XII),Below Secondary,Others,1,0,0,0,1,0,1,19,36,2,1,21,37,58,14,9,5,4,21,14,42,3,3,0,0,8,7,15,1,2,1,2,3
All India,Department of Education,HSS (I-XII),Below Secondary,Pursuing any relevant professional course,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
All India,Department of Education,HSS (I-XII),Below Secondary,,0,0,0,0,0,0,0,2,5,1,0,3,5,8,0,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
